type,title,director,cast,country,rating,listed_in
Movie,çarsi pazar,['MuharremGülmez'],"['ErdemYener', 'AyhanTaş', 'EminOlcay', 'MuharremGülmez', 'ElifNurKerkük', 'TarıkPapuççuoğlu', 'SuzanAksoy', 'DoğaKonakoğlu', 'EsinEden', 'DenizÖzerman']",['Turkey'],TV-14,"['Comedies', 'InternationalMovies']"
Movie,ég man þig,['ÓskarThórAxelsson'],"['JóhannesHaukurJóhannesson', 'ÁgústaEvaErlendsdóttir', 'ElmaStefaniaAgustsdottir', 'ThorKristjansson', 'AnnaGunndísGuðmundsdóttir', 'SaraDöggÁsgeirsdóttir', 'ÞrösturLeóGunnarsson', 'JóhannSigurðarson', 'SveinnGeirsson', 'ArnarPállHarðarson']",['Iceland'],TV-MA,"['HorrorMovies', 'InternationalMovies']"
Movie,çok filim hareketler bunlar,['OzanAçıktan'],"['AyçaErturan', 'AydanTaş', 'AyşegülAkdemir', 'BurcuGönder', 'BülentEmrahParlak', 'BüşraPekin', 'EmreCanpolat', 'ErsinKorkut', 'EserYenenler', 'GizemTuğral', 'GülhanTekin', 'GülsümAlkan', 'HamdiKahraman', 'İbrahimBüyükak', 'MetinKeçeci']",['Turkey'],TV-MA,"['Comedies', 'InternationalMovies']"
Movie,òlòtūré,['KennethGyang'],"['BeverlyOsu', 'SharonOoja', 'OmowunmiDada', 'PearlOkorie', 'WofaiSamuel', 'IkechukwuOnunaku', 'KemiLalaAkindoju', 'BlossomChukwujekwu', 'AdebukolaOladipupo', 'OmoniOboli', 'SegunArinze', 'AdaAmeh', 'SambasaNzeribe', 'PatrickDoyle', 'GregoryOjefua']",['Nigeria'],TV-MA,"['Dramas', 'InternationalMovies']"
Movie,æon flux,['KarynKusama'],"['CharlizeTheron', 'MartonCsokas', 'JonnyLeeMiller', 'SophieOkonedo', 'FrancesMcDormand', 'PetePostlethwaite', 'AmeliaWarner', 'CarolineChikezie', 'NikolaiKinski', 'PatersonJoseph', 'YangzomBrauen']",['UnitedStates'],PG-13,"['Action&Adventure', 'Sci-Fi&Fantasy']"
TV Show,şubat,['nan'],"['AlicanYücesoy', 'MelisaSözen', 'MusaUzunlar', 'SerkanErcan', 'ÖzkanUğur', 'ÜlküDuru', 'TansuBiçer', 'NadirSarıbacak', 'SermetYeşil', 'AyhanKavas']",['Turkey'],TV-MA,"['CrimeTVShows', 'InternationalTVShows', 'TVDramas']"
Movie,1 chance 2 dance,['AdamDeyoe'],"['LexiGiovagnoli', 'JustinRay', 'RaeLatt', 'PoonamBasu', 'TeresaBiter', 'KalilahHarris', 'AlexiaDox', 'AdamPowell', 'SeanMcBride']",['UnitedStates'],TV-PG,"['Dramas', 'RomanticMovies']"
Movie,1 mile to you,['LeifTilden'],"['BillyCrudup', 'GrahamRogers', 'LianaLiberato', 'StefanieScott', 'TimRoth', 'MelanieLynskey', 'ThomasCocquerel', 'PeterCoyote']",['UnitedStates'],TV-14,"['Dramas', 'RomanticMovies', 'SportsMovies']"
Movie,10 days in sun city,['AdzeUgah'],"['AyoMakun', 'AdesuaEtomi', 'RichardMofe-Damijo', 'MercyJohnson', 'Falz', 'TufaceIdibia', 'ThenjiweMoseley', 'MotlatsiMafatshe', 'CelesteNtuli', 'MiguelA.NúñezJr.']","['SouthAfrica', 'Nigeria']",TV-14,"['Comedies', 'InternationalMovies', 'RomanticMovies']"
Movie,10 jours en or,['NicolasBrossette'],"['FranckDubosc', 'ClaudeRich', 'MarieKremer', 'MathisTouré', 'Rufus', 'OlivierClaverie']",['France'],TV-14,"['Comedies', 'Dramas', 'InternationalMovies']"
Movie,"10,000 b.c.",['RolandEmmerich'],"['StevenStrait', 'CamillaBelle', 'CliffCurtis', 'JoelVirgel', 'AffifBenBadra', 'MoZinal', 'NathanaelBaring', 'MonaHammond', 'OmarSharif']","['UnitedStates', 'SouthAfrica']",PG-13,['Action&Adventure']
TV Show,100 days my prince,['nan'],"['DohKyung-soo', 'NamJi-hyun', 'ChoSeong-ha', 'ChoHan-cheul', 'KimSeon-ho', 'HanSo-hee']",['SouthKorea'],TV-14,"['InternationalTVShows', 'RomanticTVShows', 'TVDramas']"
Movie,100 days of solitude,['nan'],['nan'],['Spain'],TV-MA,"['Documentaries', 'InternationalMovies']"
TV Show,100 humans,['nan'],"['ZainabJohnson', 'SammyObeid', 'AlieWard']",['UnitedStates'],TV-14,"['Docuseries', 'Science&NatureTV']"
Movie,100 meters,['MarcelBarrena'],"['DaniRovira', 'KarraElejalde', 'AlexandraJiménez', 'DavidVerdaguer', 'ClaraSegura', 'AlbaRibas', 'BrunoBergonzini', 'RicardoPereira', 'ManuelaCouto', 'MarcBalaguer']","['Portugal', 'Spain']",TV-MA,"['Dramas', 'InternationalMovies', 'SportsMovies']"
Movie,100 things to do before high school,['nan'],"['IsabelaMoner', 'JaheemToombs', 'OwenJoyner', 'JackDeSena', 'BradyReiter', 'LisaArch', 'StephanieEscajeda']",['UnitedStates'],TV-Y,['Movies']
Movie,100 years: one woman's fight for justice,['MelindaJanko'],['nan'],['UnitedStates'],TV-14,['Documentaries']
Movie,100% halal,['JastisArimba'],"['AnisaRahma', 'AriyoWahab', 'AnanditoDwis', 'FitriaRasyidi', 'ArafahRianti', 'Kinaryosih']",['Indonesia'],TV-14,"['Dramas', 'InternationalMovies']"
TV Show,100% hotter,['nan'],"['DanielPalmer', 'MelissaSophia', 'KarenWilliams', 'GraceWoodward']",['UnitedKingdom'],TV-14,"['BritishTVShows', 'InternationalTVShows', 'RealityTV']"
Movie,1000 rupee note,['ShrihariSathe'],"['UshaNaik', 'SandeepPathak', 'ShrikantYadav', 'GaneshYadav', 'PoojaNayak', 'DevendraGaikwad']",['India'],TV-14,"['Dramas', 'InternationalMovies']"
Movie,12 round gun,['SamUpton'],"['SamUpton', 'JaredAbrahamson', 'MarkBooneJunior', 'LailaAli', 'KateVernon', 'CassiThomson', 'ColbyFrench', 'MiguelPerez', 'JayAcovone']",['UnitedStates'],TV-MA,"['Dramas', 'IndependentMovies', 'SportsMovies']"
TV Show,12 years promise,['nan'],"['So-yeonLee', 'NamkoongMin', 'Tae-imLee', 'So-huiYoon', 'Won-keunLee', 'Hyo-youngRyu']",['SouthKorea'],TV-14,"['InternationalTVShows', 'KoreanTVShows', 'RomanticTVShows']"
Movie,13 cameras,['VictorZarcoff'],"['PJMcCabe', 'BrianneMoncrief', 'SarahBaldwin', 'JimCummings', 'HeidiNiedermeyer', 'NevilleArchambault']",['UnitedStates'],NR,"['HorrorMovies', 'IndependentMovies', 'Thrillers']"
TV Show,13 reasons why,['nan'],"['DylanMinnette', 'KatherineLangford', 'KateWalsh', 'DerekLuke', ""Briand'ArcyJames"", 'AlishaBoe', 'ChristianNavarro', 'MilesHeizer', 'RossButler', 'DevinDruid', 'MicheleSeleneAng', 'StevenSilver', 'AmyHargreaves']",['UnitedStates'],TV-MA,"['CrimeTVShows', 'TVDramas', 'TVMysteries']"
TV Show,13 reasons why: beyond the reasons,['nan'],"['DylanMinnette', 'KatherineLangford', 'KateWalsh', 'DerekLuke', 'AlishaBoe', 'JustinPrentice', 'BrandonFlynn', 'MilesHeizer', 'ChristianNavarro', 'BrianYorkey', 'TomMcCarthy', 'SelenaGomez', 'MandyTeefey', 'JayAsher', 'Dr.RonaHu', 'Dr.HelenHsu', 'Dr.RebeccaHedrick', 'AlexisJones', 'ElaineWelteroth', 'JuliaBicknell', 'Dr.ChristineMoutier', 'NicSheff', 'CarrieGoldberg', 'AnneWinters', 'JoyGorman', 'BrandonButler', 'MarissaJoCerar', 'SusanneTimms']",['UnitedStates'],TV-MA,"['CrimeTVShows', 'Docuseries']"
Movie,13 sins,['DanielStamm'],"['MarkWebber', 'RutinaWesley', 'DevonGraye', 'TomBower', 'RonPerlman', 'PruittTaylorVince']",['UnitedStates'],R,"['HorrorMovies', 'Thrillers']"
Movie,13th,['AvaDuVernay'],['nan'],['UnitedStates'],TV-MA,['Documentaries']
Movie,13th: a conversation with oprah winfrey & ava duvernay,['nan'],"['OprahWinfrey', 'AvaDuVernay']",['nan'],TV-MA,['Movies']
Movie,14 blades,['DanielLee'],"['DonnieYen', 'ZhaoWei', 'WuChun', 'LawKar-Ying', 'KateTsui', 'YuwuQi', 'WuMa', 'ChenKuanTai', 'SammoKam-BoHung', 'ChenZhiHui', 'DamianLau', 'XiangDongXu']","['HongKong', 'China', 'Singapore']",R,"['Action&Adventure', 'InternationalMovies']"
Movie,14 cameras,"['ScottHussion', 'SethFuller']","['NevilleArchambault', 'AmberMidthunder', 'BrytneeRatledge', 'HankRogerson', 'ChelseaEdmundson', 'John-PaulHoward', 'LoraMartinez-Cunningham', 'BrianneMoncrief']",['UnitedStates'],TV-MA,"['HorrorMovies', 'Thrillers']"
Movie,14 minutes from earth,"['AdamDavis', 'JerryKolber', 'TreyNelson', 'ErichSturm']",['nan'],['UnitedStates'],TV-MA,['Documentaries']
Movie,16 blocks,['RichardDonner'],"['BruceWillis', 'MosDef', 'DavidMorse', 'JennaStern', 'CylkCozart', 'CaseySander', 'DavidZayas', 'RobertRacki', 'PatrickGarrow', 'SashaRoiz']","['UnitedStates', 'Germany']",PG-13,['Action&Adventure']
Movie,17 again,['BurrSteers'],"['ZacEfron', 'LeslieMann', 'MatthewPerry', 'ThomasLennon', 'MichelleTrachtenberg', 'MeloraHardin', 'SterlingKnight', 'HunterParrish', 'NicoleSullivan', 'AllisonMiller']",['UnitedStates'],PG-13,['Comedies']
Movie,18 presents,['FrancescoAmato'],"['VittoriaPuccini', 'BenedettaPorcaroli', 'EdoardoLeo', 'SaraLazzaro', 'MarcoMesseri', 'BettyPedrazzi', 'AlessandroGiallocosta', 'FilippoGili', 'GiacomoRosselli']",['Italy'],TV-MA,"['Dramas', 'IndependentMovies', 'InternationalMovies']"
Movie,1898: our last men in the philippines,['SalvadorCalvo'],"['LuisTosar', 'JavierGutiérrez', 'ÁlvaroCervantes', 'KarraElejalde', 'CarlosHipólito', 'RicardoGómez', 'PatrickCriado', 'EduardFernández', 'MiguelHerrán', 'EmilioPalacios']",['Spain'],R,"['Dramas', 'InternationalMovies']"
Movie,1br,['DavidMarmor'],"['NicoleBrydonBloom', 'GilesMatthey', 'TaylorNichols', 'AlanBlumenfeld', 'CelesteSully', 'SusanDavis', 'ClaytonHoff', 'EarnestinePhillips']",['UnitedStates'],TV-MA,"['HorrorMovies', 'IndependentMovies', 'Thrillers']"
Movie,1st summoning,['RaymondWood'],"['HayleyLovitt', 'TeddyCole', 'BrookTodd', 'AceHarney', 'JasonMacdonald']",['UnitedStates'],TV-MA,"['HorrorMovies', 'IndependentMovies']"
Movie,2 alone in paris,"['RamzyBedia', 'ÉricJudor']","['RamzyBedia', 'ÉricJudor', 'BenoîtMagimel', 'KristinScottThomas', 'ÉlodieBouchez', 'ÉdouardBaer', 'FredTestot', 'OmarSy']",['France'],TV-MA,"['Comedies', 'InternationalMovies']"
Movie,2 states,['AbhishekVarman'],"['AliaBhatt', 'ArjunKapoor', 'RonitRoy', 'AmritaSingh', 'Revathy', 'AruKrishanshVerma']",['India'],TV-PG,"['Comedies', 'Dramas', 'InternationalMovies']"
Movie,20 feet from stardom,['MorganNeville'],"['DarleneLove', 'MerryClayton', 'LisaFischer', 'TátaVega', 'ClaudiaLennear', 'JudithHill', 'BruceSpringsteen', 'MickJagger', 'StevieWonder', 'Sting', 'BetteMidler', 'CissyHouston', 'SherylCrow', 'TataVega']",['UnitedStates'],PG-13,"['Documentaries', 'Music&Musicals']"
TV Show,20 minutes,['nan'],"['TubaBüyüküstün', 'IlkerAksum', 'BülentEminYarar', 'İpekBilgin', 'MüjdeUzman', 'FiratÇelik', 'AytenUncuoglu', 'CihatTamer']",['Turkey'],TV-MA,"['CrimeTVShows', 'InternationalTVShows', 'TVDramas']"
Movie,2015 dream concert,['nan'],"['4Minute', 'B1A4', 'BtoB', 'ELSIE', 'EXID', 'EXO', 'Got7', 'INFINITE', 'KARA', 'Shinee', 'Sistar', 'VIXX', 'NineMuses', 'BTS', 'Secret', 'ToppDogg']",['SouthKorea'],TV-PG,"['InternationalMovies', 'Music&Musicals']"
Movie,2036 origin unknown,['HasrafDulull'],"['KateeSackhoff', 'RayFearon', 'JulieCox', 'StevenCree', 'DavidTse', 'JoeDavidWalters']",['UnitedKingdom'],TV-14,['Sci-Fi&Fantasy']
Movie,20th century women,['MikeMills'],"['AnnetteBening', 'ElleFanning', 'GretaGerwig', 'LucasJadeZumann', 'BillyCrudup']",['UnitedStates'],R,"['Dramas', 'IndependentMovies']"
Movie,21 & over,"['JonLucas', 'ScottMoore']","['MilesTeller', 'SkylarAstin', 'JustinChon', 'SarahWright', 'JonathanKeltz', 'FrançoisChau', 'RussellHodgkinson', 'DanielBooko', 'RussellMercado', 'JosieLoren', 'DustinYbarra']",['UnitedStates'],R,['Comedies']
TV Show,21 again,['nan'],['LauraMorgan'],['UnitedKingdom'],TV-MA,"['BritishTVShows', 'RealityTV']"
TV Show,21 sarfarosh: saragarhi 1897,['nan'],"['LukeKenny', 'MohitRaina', 'MukulDev']",['India'],TV-14,"['InternationalTVShows', 'TVDramas']"
TV Show,21 thunder,['nan'],"['StephanieBennett', 'EmmanuelKabongo', 'RJFetherstonhaugh', 'AndresJoseph', 'KevinClaydon', 'ConradPla', 'ClarkBacko', 'RyanPierce', 'EileenLi', 'SusanBain', 'CristinaRosato', 'JonathanKim', 'ColmFeore']",['Canada'],TV-MA,"['CrimeTVShows', 'InternationalTVShows', 'TVDramas']"
Movie,2307: winter's dream,['JoeyCurtis'],"['PaulSidhu', 'ArielleHolmes', 'BrandenColes', 'KelceyWatson', 'Anne-SolenneHatte', 'BradPotts', 'TimothyLeeDePriest', 'FernandoArgosino', 'DuchessDukes', 'HarwoodGordon', 'StormiHenley']",['UnitedStates'],TV-MA,"['Action&Adventure', 'IndependentMovies', 'Sci-Fi&Fantasy']"
Movie,24 hours to live,['BrianSmrz'],"['EthanHawke', 'XuQing', 'PaulAnderson', 'RutgerHauer', 'TyroneKeogh', 'NathalieBoltt', 'LiamCunningham']","['SouthAfrica', 'China', 'UnitedStates']",R,['Action&Adventure']
Movie,25 kille,['SimranjitSinghHundal'],"['GugguGill', 'YograjSingh', 'SoniaMann', 'JimmySharma', 'SapnaBassi', 'LakhaLakhwinderSingh', 'SandeepKaurSandy', 'SardarSohi']",['India'],TV-14,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,26 years,['Geun-hyunCho'],"['GooJin', 'Hye-jinHan', 'Soo-binBae', 'Seul-ongIm', 'Kyeong-yeongLee', 'GwangJang', 'Deok-jaeJo', 'Eui-sungKim', 'Seok-HwanAn', 'Bok-giMin']",['SouthKorea'],TV-MA,"['Dramas', 'InternationalMovies', 'Thrillers']"
Movie,"27, el club de los malditos",['NicanorLoreti'],"['DiegoCapusotto', 'SofíaGala', 'DanielAráoz', 'WillyToledo', 'ElPolaco', 'PaulaManzone', 'YayoGuridi', 'GuillermoToledo']",['Argentina'],TV-MA,"['Action&Adventure', 'Comedies', 'InternationalMovies']"
Movie,27: gone too soon,['SimonNapier-Bell'],"['JanisJoplin', 'JimiHendrix', 'AmyWinehouse', 'JimMorrison', 'KurtCobain']",['UnitedKingdom'],TV-MA,['Documentaries']
Movie,28 days,['BettyThomas'],"['SandraBullock', 'ViggoMortensen', 'DominicWest', 'DianeLadd', 'ElizabethPerkins', 'SteveBuscemi', 'AlanTudyk', ""MikeO'Malley"", 'AzuraSkye', 'ReniSantoni', 'MarianneJean-Baptiste']",['UnitedStates'],PG-13,"['Comedies', 'Dramas']"
TV Show,28 moons,['nan'],"['Jin-sungYang', 'Kyu-jongKim', 'Tae-hwanKang', 'Geummi']",['SouthKorea'],TV-PG,"['InternationalTVShows', 'KoreanTVShows', 'RomanticTVShows']"
Movie,3 days to kill,['McG'],"['KevinCostner', 'AmberHeard', 'HaileeSteinfeld', 'ConnieNielsen', 'TómasLemarquis', 'RichardSammel', 'MarcAndréoni', 'BrunoRicci', 'JonasBloquet', 'EriqEbouaney']","['UnitedStates', 'France', 'Serbia']",PG-13,['Action&Adventure']
Movie,3 deewarein,['NageshKukunoor'],"['NaseeruddinShah', 'JackieShroff', 'JuhiChawla', 'NageshKukunoor', 'GulshanGrover', 'AdityaLakhia', 'ShriVallabhVyas']",['nan'],TV-MA,"['Dramas', 'InternationalMovies', 'Thrillers']"
Movie,3 generations,['GabyDellal'],"['ElleFanning', 'NaomiWatts', 'SusanSarandon', 'TateDonovan', 'LindaEmond', 'JordanCarlos', 'SamTrammell', 'MariaDizzia', 'TessaAlbertson']",['UnitedStates'],PG-13,"['Dramas', 'LGBTQMovies']"
Movie,3 heroines,['ImanBrotoseno'],"['RezaRahadian', 'BungaCitraLestari', 'TaraBasro', 'ChelseaIslan']",['Indonesia'],TV-PG,"['Dramas', 'InternationalMovies', 'SportsMovies']"
Movie,3 idiots,['RajkumarHirani'],"['AamirKhan', 'KareenaKapoor', 'Madhavan', 'SharmanJoshi', 'OmiVaidya', 'BomanIrani', 'MonaSingh', 'JavedJaffrey']",['India'],PG-13,"['Comedies', 'Dramas', 'InternationalMovies']"
Movie,3 seconds divorce,['ShaziaJaved'],['nan'],['Canada'],TV-PG,"['Documentaries', 'Faith&Spirituality']"
